Direction I ,Direction J ,Num other trails ,Other trails
          1 ,         41 ,               1 ,[[2 40]]
          0 ,          1 ,               1 ,[[1 0]]
          7 ,         25 ,               1 ,[[6 24]]
          0 ,         21 ,               2 ,[[0 23] [1 22]]
          2 ,         36 ,               1 ,[[3 37]]
          1 ,          2 ,               1 ,[[2 1]]
          2 ,         19 ,               1 ,[[3 20]]
          9 ,         25 ,               1 ,[[10 24]]
          1 ,         41 ,               1 ,[[2 40]]
          0 ,         24 ,               1 ,[[1 23]]
          0 ,         45 ,               1 ,[[1 44]]
          6 ,         46 ,               1 ,[[8 46]]
          1 ,          2 ,               1 ,[[2 1]]
          3 ,         36 ,               1 ,[[3 38]]
          1 ,         47 ,               1 ,[[2 46]]
          1 ,         21 ,               2 ,[[1 23] [2 22]]
          3 ,          6 ,               1 ,[[2 5]]
          3 ,         15 ,               1 ,[[4 14]]
          0 ,         49 ,               1 ,[[1 48]]
          8 ,         15 ,               1 ,[[7 16]]
          8 ,         31 ,               1 ,[[7 30]]
          3 ,         22 ,               1 ,[[5 22]]
          9 ,          4 ,               1 ,[[8 3]]
          5 ,         11 ,               1 ,[[4 12]]
          2 ,         19 ,               1 ,[[3 20]]
          7 ,         25 ,               1 ,[[6 24]]
          2 ,         15 ,               1 ,[[4 15]]
          8 ,         14 ,               1 ,[[9 13]]
          3 ,         24 ,               1 ,[[2 23]]
         10 ,         23 ,               1 ,[[11 22]]
          6 ,         12 ,               1 ,[[7 11]]
          1 ,         29 ,               1 ,[[0 30]]
          2 ,         28 ,               1 ,[[4 28]]
          6 ,         33 ,               1 ,[[8 33]]
          9 ,          6 ,               1 ,[[10 5]]
         13 ,         22 ,               1 ,[[13 24]]
          7 ,          6 ,               1 ,[[6 7]]
          2 ,         19 ,               1 ,[[3 20]]
          8 ,         11 ,               1 ,[[10 11]]
          7 ,          5 ,               1 ,[[6 6]]
          6 ,         25 ,               1 ,[[5 24]]
          0 ,         45 ,               1 ,[[1 44]]
          8 ,         34 ,               1 ,[[9 35]]
          8 ,         15 ,               1 ,[[7 16]]
          1 ,         10 ,               1 ,[[0 11]]
          3 ,         31 ,               1 ,[[2 30]]
          0 ,         29 ,               1 ,[[2 29]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          8 ,         14 ,               1 ,[[9 13]]
          1 ,         47 ,               1 ,[[2 46]]
          9 ,         16 ,               1 ,[[8 17]]
          3 ,         22 ,               1 ,[[5 22]]
          7 ,          5 ,               1 ,[[6 6]]
          1 ,          7 ,               1 ,[[2 6]]
          7 ,         39 ,               1 ,[[9 39]]
          3 ,         22 ,               1 ,[[5 22]]
          3 ,         22 ,               1 ,[[5 22]]
          9 ,          6 ,               1 ,[[10 5]]
          1 ,         29 ,               1 ,[[2 28]]
          1 ,         47 ,               1 ,[[2 46]]
          9 ,          6 ,               1 ,[[10 5]]
          7 ,         35 ,               2 ,[[6 36] [8 36]]
          6 ,         23 ,               1 ,[[7 22]]
          9 ,         40 ,               1 ,[[10 39]]
          3 ,         32 ,               1 ,[[2 31]]
          5 ,         38 ,               1 ,[[4 39]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          2 ,         36 ,               1 ,[[3 37]]
         12 ,         40 ,               1 ,[[13 39]]
          8 ,         15 ,               1 ,[[7 16]]
          8 ,         18 ,               1 ,[[9 19]]
          7 ,         25 ,               1 ,[[6 24]]
          2 ,         23 ,               2 ,[[1 24] [3 24]]
          2 ,         45 ,               1 ,[[4 45]]
          6 ,         17 ,               1 ,[[6 19]]
          0 ,         29 ,               1 ,[[2 29]]
          8 ,         14 ,               1 ,[[9 13]]
          6 ,         35 ,               1 ,[[8 35]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         12 ,         41 ,               1 ,[[13 40]]
          6 ,         25 ,               1 ,[[5 24]]
          3 ,         51 ,               1 ,[[4 50]]
          7 ,         44 ,               1 ,[[6 43]]
          2 ,         22 ,               1 ,[[1 23]]
          3 ,         34 ,               1 ,[[2 35]]
          9 ,         19 ,               2 ,[[8 18] [10 18]]
          1 ,         47 ,               1 ,[[2 46]]
          8 ,         14 ,               1 ,[[9 13]]
         11 ,         41 ,               1 ,[[13 41]]
          8 ,          4 ,               1 ,[[7 3]]
         10 ,          6 ,               1 ,[[11 5]]
          6 ,         28 ,               2 ,[[5 27] [7 27]]
          7 ,         40 ,               1 ,[[6 41]]
          6 ,          5 ,               1 ,[[7 4]]
          9 ,          6 ,               1 ,[[10 5]]
         11 ,         20 ,               1 ,[[12 19]]
          9 ,         14 ,               1 ,[[10 13]]
          3 ,         31 ,               1 ,[[2 30]]
          6 ,         35 ,               1 ,[[8 35]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          2 ,         45 ,               1 ,[[4 45]]
          5 ,         38 ,               1 ,[[4 39]]
         10 ,         20 ,               1 ,[[12 20]]
          8 ,         46 ,               1 ,[[10 46]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          4 ,         12 ,               1 ,[[5 11]]
          2 ,         19 ,               1 ,[[3 20]]
          3 ,         34 ,               1 ,[[2 35]]
          8 ,         20 ,               1 ,[[7 21]]
          8 ,         45 ,               1 ,[[8 47]]
          3 ,         32 ,               1 ,[[2 31]]
          8 ,         45 ,               1 ,[[8 47]]
         10 ,          6 ,               1 ,[[11 5]]
          3 ,         18 ,               2 ,[[3 20] [2 19]]
         11 ,         21 ,               2 ,[[11 23] [12 22]]
          2 ,         45 ,               1 ,[[4 45]]
          6 ,          6 ,               1 ,[[7 5]]
          9 ,         42 ,               1 ,[[8 43]]
         11 ,         20 ,               1 ,[[12 19]]
          2 ,         45 ,               1 ,[[4 45]]
          9 ,         42 ,               1 ,[[8 43]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          7 ,         25 ,               1 ,[[6 24]]
         11 ,         20 ,               1 ,[[10 21]]
          9 ,         14 ,               1 ,[[10 13]]
          6 ,          6 ,               1 ,[[6 8]]
          3 ,          0 ,               1 ,[[3 2]]
         10 ,         20 ,               1 ,[[12 20]]
          3 ,         31 ,               1 ,[[2 30]]
          3 ,         36 ,               1 ,[[3 38]]
          9 ,          6 ,               1 ,[[10 5]]
          3 ,         18 ,               2 ,[[3 20] [2 19]]
          6 ,         25 ,               1 ,[[5 24]]
          3 ,         32 ,               1 ,[[2 31]]
         10 ,         20 ,               1 ,[[12 20]]
          9 ,         40 ,               1 ,[[10 39]]
          3 ,         22 ,               1 ,[[5 22]]
          7 ,         10 ,               1 ,[[7 12]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          1 ,         23 ,               2 ,[[1 25] [0 24]]
          3 ,         22 ,               1 ,[[5 22]]
          3 ,         31 ,               1 ,[[2 30]]
          6 ,         32 ,               1 ,[[7 31]]
          8 ,         26 ,               1 ,[[8 28]]
          2 ,         10 ,               1 ,[[4 10]]
         10 ,          6 ,               1 ,[[11 5]]
          7 ,         26 ,               1 ,[[9 26]]
          8 ,         20 ,               1 ,[[7 21]]
          1 ,          7 ,               1 ,[[2 6]]
          8 ,         20 ,               1 ,[[7 21]]
          8 ,         14 ,               1 ,[[9 13]]
          6 ,         33 ,               1 ,[[8 33]]
          3 ,         32 ,               1 ,[[2 31]]
         11 ,         13 ,               1 ,[[12 14]]
          7 ,          3 ,               2 ,[[7 5] [8 4]]
         12 ,         40 ,               1 ,[[13 39]]
          3 ,         22 ,               1 ,[[5 22]]
          8 ,         15 ,               1 ,[[7 16]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         12 ,         11 ,               1 ,[[11 12]]
          8 ,         14 ,               1 ,[[9 13]]
         12 ,         41 ,               1 ,[[13 40]]
          2 ,          1 ,               2 ,[[2 3] [1 2]]
          5 ,         28 ,               1 ,[[4 27]]
         10 ,          3 ,               1 ,[[12 3]]
          9 ,          6 ,               1 ,[[10 5]]
          8 ,         34 ,               1 ,[[9 35]]
          9 ,         14 ,               1 ,[[10 13]]
          8 ,         14 ,               1 ,[[9 13]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          5 ,         38 ,               1 ,[[4 39]]
         11 ,         41 ,               1 ,[[13 41]]
         10 ,         24 ,               2 ,[[9 25] [11 25]]
          1 ,         26 ,               1 ,[[0 25]]
          4 ,          8 ,               1 ,[[3 9]]
          6 ,         25 ,               1 ,[[5 24]]
          7 ,         47 ,               1 ,[[9 47]]
         13 ,         22 ,               1 ,[[13 24]]
          5 ,          8 ,               1 ,[[7 8]]
          2 ,         34 ,               1 ,[[1 33]]
          8 ,         11 ,               1 ,[[10 11]]
         10 ,          6 ,               1 ,[[11 5]]
          1 ,         27 ,               2 ,[[0 26] [2 26]]
          5 ,          7 ,               1 ,[[4 8]]
          0 ,         33 ,               1 ,[[0 35]]
         13 ,         22 ,               1 ,[[13 24]]
          9 ,         14 ,               1 ,[[10 13]]
          4 ,          7 ,               1 ,[[3 8]]
          7 ,         48 ,               1 ,[[6 47]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          6 ,         35 ,               1 ,[[6 37]]
          0 ,         27 ,               1 ,[[2 27]]
          9 ,          6 ,               1 ,[[10 5]]
         13 ,         22 ,               1 ,[[13 24]]
         12 ,         37 ,               1 ,[[11 36]]
         10 ,          3 ,               1 ,[[12 3]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          0 ,         31 ,               1 ,[[1 32]]
          9 ,         14 ,               1 ,[[10 13]]
          6 ,         17 ,               1 ,[[6 19]]
         10 ,          3 ,               1 ,[[12 3]]
          8 ,          9 ,               1 ,[[9 8]]
         13 ,         38 ,               1 ,[[13 40]]
          6 ,         35 ,               1 ,[[6 37]]
          3 ,         34 ,               1 ,[[2 35]]
         10 ,          3 ,               1 ,[[12 3]]
          9 ,          6 ,               1 ,[[10 5]]
          2 ,         25 ,               1 ,[[4 25]]
          9 ,         30 ,               1 ,[[11 30]]
          4 ,          2 ,               1 ,[[5 3]]
         10 ,         19 ,               1 ,[[11 18]]
          4 ,          7 ,               1 ,[[3 8]]
          3 ,         34 ,               1 ,[[2 35]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
          8 ,         31 ,               1 ,[[7 30]]
          8 ,         20 ,               1 ,[[7 21]]
          2 ,         25 ,               1 ,[[4 25]]
          9 ,          9 ,               1 ,[[10 8]]
          9 ,         14 ,               1 ,[[10 13]]
          6 ,         33 ,               1 ,[[8 33]]
         10 ,         38 ,               1 ,[[10 40]]
          8 ,         34 ,               1 ,[[9 35]]
          9 ,         14 ,               1 ,[[10 13]]
         11 ,         20 ,               1 ,[[12 19]]
         33 ,         34 ,               1 ,[[34 35]]
         24 ,         24 ,               1 ,[[26 24]]
         10 ,          6 ,               1 ,[[11 5]]
         10 ,          6 ,               1 ,[[11 5]]
          4 ,         50 ,               2 ,[[3 51] [5 51]]
         32 ,         34 ,               1 ,[[34 34]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         24 ,         23 ,               1 ,[[23 24]]
         10 ,         20 ,               1 ,[[12 20]]
          8 ,         34 ,               1 ,[[9 35]]
          3 ,         22 ,               1 ,[[5 22]]
          8 ,         14 ,               1 ,[[9 13]]
         12 ,         40 ,               1 ,[[13 39]]
         32 ,         41 ,               1 ,[[31 42]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         45 ,          6 ,               1 ,[[46 5]]
         39 ,         19 ,               1 ,[[38 18]]
          8 ,         20 ,               1 ,[[7 21]]
          4 ,         49 ,               1 ,[[5 50]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         20 ,         31 ,               1 ,[[22 31]]
         46 ,         14 ,               2 ,[[46 16] [47 15]]
         12 ,         41 ,               1 ,[[13 40]]
          9 ,         14 ,               1 ,[[10 13]]
         41 ,         19 ,               1 ,[[42 18]]
         10 ,         32 ,               1 ,[[11 31]]
          3 ,         49 ,               1 ,[[5 49]]
         48 ,         12 ,               1 ,[[50 12]]
         45 ,          7 ,               1 ,[[44 6]]
         12 ,         37 ,               1 ,[[11 36]]
         21 ,         28 ,               1 ,[[20 29]]
         11 ,         41 ,               1 ,[[13 41]]
         10 ,          6 ,               1 ,[[11 5]]
         10 ,          3 ,               1 ,[[12 3]]
         45 ,         17 ,               1 ,[[47 17]]
         11 ,         20 ,               1 ,[[12 19]]
         36 ,         10 ,               1 ,[[35 11]]
